rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,guid,top_k,article_char_len,reference_char_len,engine
0.46979865771812085,0.1360544217687075,0.25503355704697983,0.000341199993272312,0.2002503128911139,0.013333333333333308,494,2,1598,142,tfidf
0.3931623931623932,0.06956521739130435,0.2222222222222222,0.00045930000487715006,0.10809778456837281,0.0,8563,2,2618,114,tfidf
0.5046728971962617,0.09523809523809523,0.3177570093457944,0.0004099000070709735,0.0900354071825999,0.0,55,2,1977,148,tfidf
0.3050847457627119,0.0,0.23728813559322035,0.0003538000019034371,0.0274949083503055,0.0,11152,2,1964,115,tfidf
0.10344827586206896,0.0,0.06896551724137931,0.0008128000044962391,0.004308390022675737,0.0,5005,2,4410,169,tfidf
0.4660194174757281,0.15841584158415842,0.27184466019417475,0.0003066000062972307,0.15568022440392706,0.0,10389,2,1426,93,tfidf
0.3568075117370892,0.21800947867298578,0.28169014084507044,0.00033340000663883984,0.2724974721941355,0.011235955056179803,7706,2,1978,122,tfidf
0.4444444444444445,0.19548872180451127,0.26666666666666666,0.0002548000047681853,0.2105666156202144,0.0,3927,2,1306,145,tfidf
0.48927038626609437,0.15584415584415584,0.2575107296137339,0.00041399999463465065,0.21271393643031786,0.0,14906,2,2454,211,tfidf
0.2121212121212121,0.0,0.15151515151515152,0.00048319999768864363,0.031415748674010605,0.0,10408,2,2451,123,tfidf
0.5753424657534246,0.1111111111111111,0.2602739726027397,0.0007997999928193167,0.03961584633853541,0.0,14913,2,4165,271,tfidf
0.6256983240223464,0.3389830508474576,0.4581005586592179,0.0005188999930396676,0.11482558139534883,0.045454545454545414,14438,2,2752,209,tfidf
0.4421052631578947,0.06451612903225806,0.25263157894736843,0.0004862999921897426,0.07106598984771574,0.0,1241,2,2561,93,tfidf
0.46875,0.14285714285714288,0.234375,0.0006545999931404367,0.0649671052631579,0.05555555555555558,19076,2,3648,138,tfidf
0.373134328358209,0.09090909090909091,0.22388059701492538,0.0006098000012570992,0.02859499587572175,0.0,13998,2,3637,305,tfidf
0.495049504950495,0.12121212121212122,0.29702970297029707,0.0006095999997342005,0.046062869592281355,0.0,4850,2,3213,163,tfidf
0.5833333333333333,0.16949152542372883,0.26666666666666666,0.00040419999277219176,0.12158231529959279,0.0,19760,2,1719,153,tfidf
0.4731182795698925,0.16304347826086957,0.27956989247311825,0.00055929999507498,0.10635658914728682,0.0,2581,2,3225,186,tfidf
0.5301204819277108,0.26829268292682923,0.3132530120481928,0.0004163999983575195,0.148636763412489,0.028169014084507005,5590,2,2274,173,tfidf
