rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,top_k
0.5367965367965368,0.11353711790393013,0.2424242424242424,0.0006022000015946105,0.12660704304080492,0.02409638554216864,2
0.22535211267605634,0.028985507246376812,0.1971830985915493,0.0007479000050807372,0.026427962489343565,0.0,2
0.5504587155963302,0.13084112149532712,0.2935779816513761,0.000327900008414872,0.10155799192152337,0.02631578947368418,2
0.19230769230769232,0.12,0.15384615384615385,0.00020989999757148325,0.03619047619047619,0.0,2
0.4421052631578947,0.12903225806451615,0.25263157894736843,0.00027689999842550606,0.09843400447427293,0.0,2
0.4642857142857143,0.05454545454545454,0.26785714285714285,0.0007704000017838553,0.0433031218529708,0.0,2
0.6060606060606061,0.1443298969072165,0.2828282828282829,0.00019669999892357737,0.14928649835345773,0.0,2
0.5317919075144508,0.19883040935672514,0.33526011560693636,0.00021410000044852495,0.2937660119555935,0.0,2
0.6415094339622641,0.38461538461538464,0.4528301886792453,0.0003538000019034371,0.1147227533460803,0.0,2
0.44047619047619047,0.12048192771084339,0.22619047619047616,0.0005406999989645556,0.12056493282810886,0.09677419354838712,2
0.6410256410256411,0.2597402597402597,0.4102564102564103,0.00034440000308677554,0.11044262999570262,0.0,2
0.3972602739726027,0.04166666666666666,0.20547945205479454,0.0007237999961944297,0.08176593521421108,0.0,2
0.5544554455445544,0.2626262626262626,0.3564356435643564,0.00021779999951831996,0.1628303495311168,0.0,2
0.42372881355932207,0.06896551724137932,0.22033898305084745,0.00025769999774638563,0.16971470373079736,0.020408163265306145,2
0.5815602836879432,0.2014388489208633,0.31205673758865243,0.00030869999318383634,0.12583995113011606,0.0,2
0.3580246913580246,0.17500000000000002,0.19753086419753085,0.0002010000025620684,0.3759765625,0.01449275362318836,2
0.2,0.02941176470588235,0.14285714285714285,0.00026869999419432133,0.025720966484801246,0.0,2
0.35000000000000003,0.03389830508474576,0.2166666666666667,0.00061779998941347,0.032327586206896554,0.0,2
0.43609022556390975,0.1984732824427481,0.24060150375939848,0.00034980000054929405,0.1316831683168317,0.020408163265306145,2
0.4778761061946903,0.10810810810810811,0.26548672566371684,0.00026369999977760017,0.17882689556509299,0.0,2
0.1509433962264151,0.0,0.11320754716981131,0.00028079999901819974,0.06482982171799027,0.0,2
0.4509803921568628,0.18,0.35294117647058826,0.00023330000112764537,0.16630196936542668,0.0,2
0.34375,0.06451612903225808,0.1875,0.00016419999883510172,0.13504464285714285,0.0,2
0.5,0.02040816326530612,0.24,0.00044729998626280576,0.04925925925925926,0.0,2
0.5428571428571428,0.13043478260869565,0.2857142857142857,0.0008012000034796074,0.04272549567160011,0.0,2
0.6461538461538462,0.21875,0.3384615384615385,0.0002786999975796789,0.14878892733564014,0.0,2
0.5396825396825397,0.2741935483870968,0.2857142857142857,0.0004259999986970797,0.04919645785503444,0.0,2
0.4496124031007752,0.04724409448818897,0.2635658914728682,0.00018730000010691583,0.19715224534501644,0.0,2
0.5783132530120482,0.1234567901234568,0.3614457831325301,0.0006089000089559704,0.061224489795918366,0.0,2
0.5081967213114754,0.16666666666666666,0.3114754098360656,0.0003367000026628375,0.12723556463975472,0.0,2
0.6521739130434783,0.16176470588235295,0.3043478260869565,0.0006158000032883137,0.054245283018867926,0.0,2
0.45283018867924535,0.11464968152866241,0.25157232704402516,0.0004746999911731109,0.12572046109510088,0.0,2
0.4875621890547263,0.2814070351758794,0.3283582089552239,0.0004999999946448952,0.12216510432416088,0.015873015873015928,2
0.5517241379310344,0.20895522388059704,0.2660098522167488,0.0004667999892262742,0.11789819376026273,0.0,2
0.4504504504504504,0.11009174311926606,0.28828828828828834,0.0004608000017469749,0.051959114139693355,0.0,2
0.5348837209302325,0.09523809523809525,0.2558139534883721,0.0002263999922433868,0.1024978466838932,0.0,2
0.5052631578947367,0.15053763440860216,0.27368421052631575,0.00020130000484641641,0.17391304347826086,0.0,2
0.5882352941176471,0.029850746268656723,0.3088235294117647,0.0007197999948402867,0.03191709844559586,0.0,2
0.4731182795698925,0.10989010989010989,0.27956989247311825,0.000454399996669963,0.05112910097997444,0.0,2
0.54421768707483,0.1793103448275862,0.326530612244898,0.0006458999996539205,0.06426735218508997,0.0,2
0.0,0.0,0.0,0.00033379999513272196,0.009154550350026925,0.16666666666666663,2
0.5064935064935064,0.18421052631578946,0.27272727272727276,0.0006057999999029562,0.08837485172004746,0.0,2
0.5625,0.2553191489361702,0.2916666666666667,0.00018730000010691583,0.15906680805938495,0.0,2
0.6134969325153374,0.16149068322981366,0.28220858895705525,0.0006272000027820468,0.06826666666666667,0.039215686274509776,2
0.5,0.2380952380952381,0.33018867924528306,0.0002373000024817884,0.3294460641399417,0.012499999999999956,2
0.43076923076923074,0.12698412698412698,0.27692307692307694,0.0002705000079004094,0.06330837304288632,0.0,2
0.8324324324324324,0.6994535519125683,0.7351351351351352,0.00037399999564513564,0.12684124386252046,0.0,2
0.4770642201834862,0.09345794392523364,0.2752293577981651,0.0005024999991292134,0.060941828254847646,0.0,2
0.4873949579831933,0.05128205128205128,0.2689075630252101,0.00039829999150242656,0.07247749881572714,0.0,2
0.6013986013986014,0.1276595744680851,0.3216783216783216,0.00039409998862538487,0.10352831940575673,0.0,2
0.4337349397590361,0.024691358024691357,0.24096385542168677,0.00029690000519622117,0.05157232704402516,0.0,2
0.5169491525423728,0.1794871794871795,0.288135593220339,0.0003510000096866861,0.23877374784110536,0.15596330275229353,2
0.43636363636363634,0.07407407407407407,0.2545454545454546,0.0004526999982772395,0.06480248557478917,0.0,2
0.5714285714285715,0.183206106870229,0.28571428571428575,0.0001407000090694055,0.36459709379128136,0.0,2
0.5046728971962617,0.09523809523809523,0.3177570093457944,0.00039909999759402126,0.0900354071825999,0.0,2
0.6428571428571429,0.2926829268292683,0.40476190476190477,0.00027200000477023423,0.13482056256062075,0.0,2
0.47058823529411764,0.060606060606060615,0.3235294117647059,0.00041039999632630497,0.04433497536945813,0.0,2
0.4778761061946903,0.16216216216216217,0.3185840707964602,0.0002506000018911436,0.09297052154195011,0.0,2
0.5850340136054422,0.13793103448275862,0.2857142857142857,0.0005723000067519024,0.06296398130327192,0.022727272727272707,2
0.30508474576271183,0.03508771929824561,0.23728813559322037,0.00020120000408496708,0.052868391451068614,0.0,2
0.5842696629213482,0.16091954022988506,0.26966292134831465,0.0004157000075792894,0.05616498464238701,0.0,2
0.5104166666666666,0.23157894736842105,0.2916666666666667,0.00047130000893957913,0.13874726875455207,0.015625,2
0.3926940639269407,0.1382488479262673,0.2648401826484018,0.00027770000451710075,0.32800982800982803,0.2314814814814815,2
0.6315789473684211,0.2748091603053435,0.39097744360902253,0.0006658000056631863,0.055338031845471154,0.021276595744680882,2
0.5034013605442178,0.12413793103448273,0.2857142857142857,0.0003339000104460865,0.1579778830963665,0.0,2
0.5897435897435898,0.18181818181818182,0.2692307692307692,0.0002871999895432964,0.13442211055276382,0.0,2
0.5161290322580645,0.03278688524590164,0.27419354838709675,0.0003265000123064965,0.1444966092853417,0.05769230769230771,2
0.5165562913907285,0.174496644295302,0.2781456953642384,0.00022560000070370734,0.2527910685805423,0.0,2
0.37410071942446044,0.13138686131386865,0.21582733812949642,0.0002808999997796491,0.074375,0.0,2
0.26315789473684204,0.0,0.15789473684210528,0.0003688999859150499,0.05180787911494873,0.08333333333333337,2
0.5082872928176795,0.16759776536312848,0.25414364640883974,0.0005031000036979094,0.13312202852614896,0.06849315068493156,2
0.5945945945945946,0.08333333333333333,0.27027027027027023,0.000265499998931773,0.07890365448504984,0.0,2
0.36,0.2027027027027027,0.21333333333333335,0.0001967999996850267,0.29130087789305664,0.0,2
0.6055045871559632,0.11214953271028037,0.36697247706422026,0.0005109000048832968,0.079236276849642,0.0,2
