top_k,n,rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate
2,200,0.4765667520869502,0.13891818172742412,0.2670446786799159,0.0004890069999055413,0.11798071599587369,0.010735965306213346
3,200,0.4527070208414375,0.16285370992275333,0.2642244651367342,0.0004741529999228078,0.18536894056777292,0.014293482412623744
4,200,0.3999620910019358,0.1644165013445629,0.24302903600451387,0.0004833544999928563,0.24985823702010201,0.020933862784117158
5,200,0.35016344479224565,0.16876928370496735,0.22709671566829312,0.0004903569998350577,0.31719855308964356,0.025651468865996462
