top_k,n,rouge1_f,rouge2_f,rougeL_f,summarizer_core_latency_sec,compression_ratio,repetition_rate
2,200,0.4773284952590099,0.14002458274886284,0.2701445692164762,0.0004640984999787179,0.1162247958155047,0.010818618758739136
3,200,0.4516180276386181,0.15609710303887714,0.259615163821582,0.0004590414999256609,0.18250913772475716,0.015170038199583282
4,200,0.4014376249919721,0.1668180334233037,0.24388529202878767,0.0004629030000069179,0.2453400083980669,0.020908426748796196
5,200,0.34995239266933026,0.16541331539416793,0.22491565739480973,0.00046277000008558387,0.3114203200848402,0.024707710494439414
