rouge1_f,rouge2_f,rougeL_f,compression_ratio,repetition_rate,guid,top_k,article_char_len,reference_char_len,engine,summarizer_core_latency_sec
0.46979865771812085,0.1360544217687075,0.25503355704697983,0.2002503128911139,0.013333333333333308,494,2,1598,142,tfidf,0.00085860000399407
0.3931623931623932,0.06956521739130435,0.2222222222222222,0.10809778456837281,0.0,8563,2,2618,114,tfidf,0.0005488000024342909
0.4666666666666667,0.0909090909090909,0.2888888888888889,0.06525037936267071,0.0,55,2,1977,148,tfidf,0.000378700002329424
0.3893805309734514,0.018018018018018018,0.23008849557522124,0.10641547861507128,0.0,11152,2,1964,115,tfidf,0.0003782999992836267
0.5142857142857143,0.09708737864077671,0.24761904761904763,0.034013605442176874,0.0,5005,2,4410,169,tfidf,0.0011911000037798658
0.4,0.05825242718446601,0.2095238095238095,0.16129032258064516,0.0,10389,2,1426,93,tfidf,0.0002932999996119179
0.3568075117370892,0.21800947867298578,0.28169014084507044,0.2724974721941355,0.011235955056179803,7706,2,1978,122,tfidf,0.00032310000096913427
0.4444444444444445,0.19548872180451127,0.26666666666666666,0.2105666156202144,0.0,3927,2,1306,145,tfidf,0.0002480000039213337
0.5882352941176471,0.15135135135135136,0.26737967914438504,0.15240423797881011,0.0,14906,2,2454,211,tfidf,0.0004075999968335964
0.2857142857142857,0.038834951456310676,0.20952380952380953,0.08690330477356181,0.0,10408,2,2451,123,tfidf,0.0004082000014022924
0.5753424657534246,0.1111111111111111,0.2602739726027397,0.03961584633853541,0.0,14913,2,4165,271,tfidf,0.0006410999994841404
0.3877551020408163,0.041666666666666664,0.2040816326530612,0.028706395348837208,0.0,14438,2,2752,209,tfidf,0.0005674999993061647
0.42307692307692313,0.0784313725490196,0.21153846153846156,0.09058961343225302,0.02083333333333337,1241,2,2561,93,tfidf,0.0004936000041197985
0.46875,0.14285714285714288,0.234375,0.0649671052631579,0.05555555555555558,19076,2,3648,138,tfidf,0.0006122999984654598
0.373134328358209,0.09090909090909091,0.22388059701492538,0.02859499587572175,0.0,13998,2,3637,305,tfidf,0.0005700999972759746
